Sample Skill,Similar Skills
dlp,"process , review(0.9732832908630371)",tl1(0.9724041223526001),ieee 802.1x(0.9716325998306274),phy(0.9716235399246216),wlc(0.9703876376152039)
epo,usb(0.974155068397522),winds(0.9738132953643799),layer 3(0.9695769548416138),microsoft active directory(0.9695072770118713),network design(0.969272792339325)
java,java.(0.9462793469429016),core java(0.9250209927558899),programming(0.9201090931892395),data structure(0.9139509201049805),oops concepts(0.9112271666526794)
python,scipy(0.9369004964828491),django(0.9174788594245911),scikit(0.90798020362854),numpy(0.8941777944564819),natural language processing(0.8912002444267273)
html,css(0.9450573325157166),web technologies(0.9449526071548462),xml.(0.9369964003562927),markup languages(0.9324708580970764),python 3(0.931358814239502)
css,bootstrap(0.960952877998352),javascript(0.9548475742340088),jquery(0.9472976922988892),codeigniter(0.9469475746154785),reactjs(0.9456954002380371)
burp suite,kali linux(0.9691494703292847),scikit - learn(0.867556631565094),hypothesis testing(0.8613750338554382),ubuntu linux(0.8435895442962646),interpreting data(0.8174721002578735)
kali linux,burp suite(0.9691495299339294),scikit - learn(0.8403856754302979),ubuntu linux(0.8370479941368103),icon(0.8251417875289917),hypothesis testing(0.797132670879364)
nmap,gsm(0.9839856028556824),i2c(0.9762275218963623),cdma(0.9747139811515808),network monitoring tools(0.971575140953064),qualys(0.9708885550498962)
metasploit,arduino(0.9703869819641113),iot(0.9608688950538635),mta(0.9477038383483887),bank account(0.9445440173149109),deep learning(0.93885338306427)
wireshark,osi(0.9807645082473755),tcpdump(0.9788441061973572),glbp(0.9710597991943359),dhcp.(0.9693780541419983),osi model(0.9693019986152649)
javascript,jquery(0.9860600233078003),html5(0.9644902348518372),angularjs(0.9631369113922119),bootstrap(0.9598641991615295),css(0.954847514629364)
php,laravel(0.9340023994445801),java core(0.9327365756034851),css(0.9316315650939941),codeigniter(0.920376181602478),web development(0.9186323285102844)
bash,implementation plans(0.9260379672050476),shell scripting(0.8997588753700256),cluster.(0.8922353982925415),scala programming languages(0.8889355063438416),docker.(0.885073184967041)
c,c++(0.9205455780029297),"c , c(0.908172607421875)","c # , asp.net(0.8943462371826172)","c # , c(0.8926137685775757)",implementing new ideas(0.8922652006149292)
arduino,metasploit(0.9703869819641113),microprocessors(0.9665580987930298),mta(0.9545254111289978),gsm(0.9541341066360474),device driver development(0.9523078799247742)
groovy,code coverage(0.9539674520492554),grails(0.9103477001190186),poc(0.8962789177894592),azure data lake(0.8947536945343018),bpm(0.8915234208106995)
kotlin,django(0.9477403163909912),reactjs(0.9463854432106018),firebase(0.9275237321853638),python 3(0.9159500002861023),flask(0.9139080047607422)
perl,shell scripting(0.9502573013305664),shell script(0.9439526796340942),linux shell scripting(0.9419335126876831),shell(0.9270744323730469),linux(0.9086633324623108)
aws,aws services(0.9755017757415771),cloud(0.9661546349525452),ec2(0.9605296850204468),cloud services(0.9501005411148071),s3(0.9487894177436829)
elasticsearch,c.(0.951350748538971),javascript.(0.9354529976844788),flask(0.9112178683280945),kotlin(0.9086708426475525),django(0.887519359588623)
mongodb,reactjs(0.9490824341773987),node(0.9452202916145325),html5.(0.9345635175704956),bootstrap(0.9322616457939148),js(0.9307517409324646)
kafka,streaming(0.9487441778182983),elastic search(0.94545978307724),spark(0.9376977682113647),oozie(0.937444269657135),hortonworks(0.9337775707244873)
docker,ci(0.9613624811172485),jenkins(0.9556973576545715),jenkins.(0.9483180046081543),cd(0.9458605051040649),devops(0.9345149397850037)
vagrant,openvz(0.8905470371246338),"ubuntu , linux(0.8892806768417358)",web hosting(0.8499610424041748),"tomcat , apache(0.8433642387390137)",arangodb(0.8289405703544617)
mysql,postgresql(0.9695878624916077),xml.(0.9393759965896606),shell script(0.9198304414749146),sqlite(0.9148575067520142),ubuntu(0.9056395292282104)
tomcat,apache(0.9713557362556458),weblogic(0.9672919511795044),web servers(0.9668547511100769),apache tomcat(0.9629199504852295),application server(0.960791826248169)
apache,apache tomcat(0.975273609161377),tomcat(0.9713556170463562),web server(0.9650217294692993),application servers(0.9615390300750732),jboss(0.9612021446228027)
linux,shell scripting(0.924831211566925),shell(0.9244386553764343),perl(0.9086633920669556),win7(0.9041810035705566),unix shell scripting(0.9027305245399475)
c++,c(0.9205456376075745),sybase iq(0.9084205031394958),windows 10(0.8974233269691467),visual basic(0.881901741027832),edifact.(0.8738811016082764)
matlab,matlab.(0.9212667942047119),mat lab(0.9056023955345154),c - language(0.8928322792053223),computer(0.8730031847953796),ssps(0.8726953864097595)
programming,mysql.(0.9434807896614075),java.(0.9407426118850708),java(0.9201090335845947),django rest framework(0.9046709537506104),programming skills(0.90102618932724)
octave,latex(0.9527719020843506),c++(0.8712881207466125),matlab(0.8659051656723022),c(0.8265668153762817),jmp(0.8229571580886841)
r,c c(0.9700484275817871),xc(0.9336583018302917),ppo(0.9093383550643921),nu(0.9034292101860046),ngs(0.8995513319969177)
xslt,xsl(0.9900550246238708),dtd(0.9744958877563477),xsd(0.9517950415611267),"web services , soap(0.9438455104827881)",extjs(0.9376674890518188)
latex,octave(0.9527718424797058),jmp(0.8614557981491089),c++(0.8390305638313293),scipy(0.8219785094261169),django.(0.8213204741477966)
ruby,retrofit(0.9028202891349792),vue.js(0.8935666084289551),scripting language(0.8923153281211853),sqlite(0.8743570446968079),android sdk(0.8738367557525635)
oscp,rapport.(0.9490872025489807),information - security(0.8626860976219177),windows / nt(0.6287400126457214),hypothesis testing(0.6134317517280579),microsoft windows / nt(0.5926231741905212)
rapport.,oscp(0.949087381362915),information - security(0.7762061357498169),microsoft windows / nt(0.5858465433120728),cisco certified(0.5649726390838623),hypothesis testing(0.5614348649978638)
audit,reconciliation(0.996769368648529),balance sheet(0.9941595196723938),financial statements(0.9925926923751831),internal audits(0.9923167824745178),gaap(0.9867389798164368)
windows,windows 7(0.9651216864585876),operating systems(0.9579272270202637),windows xp(0.9517347812652588),win7(0.9483155012130737),vista(0.9323011040687561)
information - security,oscp(0.8626860976219177),charm(0.7919251918792725),rapport.(0.7762060165405273),windows / nt(0.7495984435081482),cluster development(0.7295429706573486)
mean stack,mean(0.9814828038215637),mern(0.9568732976913452),mern stack(0.9562410712242126),honesty(0.9514499306678772),flexibility(0.9449268579483032)
learn new technologies,handle multiple tasks(0.9236911535263062),good analytical skills(0.9141645431518555),programming skills(0.9118838906288147),debugging skills(0.8972829580307007),"analytical , problem solving(0.8940402865409851)"
strong analytical skills,management skills.(0.972787082195282),oral(0.966896116733551),minimal supervision.(0.9667810201644897),hard work(0.9662026166915894),verbal communication(0.9644870758056641)
problem solving,problem solving skills.(0.9618778228759766),work independently(0.9548576474189758),analytical(0.9529348611831665),analytical skills(0.9521730542182922),self - starter(0.9516339302062988)
analytical,problem solving skills(0.9559766054153442),problem solving(0.9529348611831665),problem solving skills.(0.9483649134635925),interpersonal(0.9481837749481201),analytical skills(0.9466004967689514)
analytical skills,communication skills(0.9538723826408386),problem solving skills(0.9531181454658508),problem solving(0.952173113822937),communication skills.(0.9496358633041382),presentation skills.(0.9493260383605957)
angularjs,jquery(0.9838159084320068),ajax(0.9663541316986084),javascript(0.9631368517875671),"ajax , javascript(0.9625667333602905)",react java script(0.9592569470405579)
jquery,javascript(0.9860601425170898),angularjs(0.9838158488273621),bootstrap(0.9738863110542297),ajax(0.9702648520469666),html5(0.9649796485900879)
